,year,sysID,sysName,schoolID,schoolName,adress,latitude,longitude,grd,ccrpi,titleI,chrtr,cluster
142,2015,620,Camden County,100,Mamie Lou Gross Elementary School,"277 Roberts Path,Woodbine,Ga,31569",30.847444,-81.676823,E,75.3,Yes,No,3
143,2015,620,Camden County,105,Saint Marys Middle School,"205 Martha Dr,Saint Marys,Ga,31558",30.753564,-81.572783,M,72.5,Yes,No,3
144,2015,620,Camden County,182,Camden Middle School,"1300 Middle School Rd,Kingsland,Ga,31548",30.794809,-81.643624,M,73.0,Yes,No,3
145,2015,620,Camden County,187,Crooked River Elementary School,"3570 Charlie Smith Sr Hwy,Saint Marys,Ga,31558",30.802651,-81.574493,E,81.9,Yes,No,3
146,2015,620,Camden County,189,Matilda Harris Elementary School,"1100 Lakes Blvd,Kingsland,Ga,31548",30.797623,-81.654239,E,85.5,Yes,No,3
147,2015,620,Camden County,193,Kingsland Elementary School,"900 W King Ave,Kingsland,Ga,31548",30.80133,-81.715386,E,75.0,Yes,No,3
148,2015,620,Camden County,195,David L Rainer Elementary School,"850 May Creek Dr,Kingsland,Ga,31548",30.777078,-81.665046,E,80.2,Yes,No,3
149,2015,620,Camden County,197,Sugarmill Elementary,"2885 Winding Rd,Saint Marys,Ga,31558",30.802001,-81.594009,E,88.6,Yes,No,3
150,2015,620,Camden County,295,Camden County High School,"6300 Laurel Island Pkwy,Kingsland,Ga,31548",30.82329,-81.688802,H,91.1,Yes,No,3
151,2015,620,Camden County,495,Mary Lee Clark Elementary School,"2900 Mickler Dr,Saint Marys,Ga,31558",30.769009,-81.589881,E,75.3,Yes,No,3
152,2015,621,Candler County,102,Metter Middle School,"33661 Ga Highway 129 S,Metter,Ga,30439",32.34498,-82.054601,M,66.3,Yes,No,3
153,2015,621,Candler County,202,Metter Intermediate School,"33661 Ga Highway 129 S,Metter,Ga,30439",32.34498,-82.054601,E,61.0,Yes,No,3
154,2015,622,Carroll County,100,Sharp Creek Elementary School,"115 Old Muse Rd,Carrollton,Ga,30116",33.647699,-85.044846,E,64.9,Yes,No,3
155,2015,622,Carroll County,101,Bowdon Middle School,"129 N Jonesville Rd,Bowdon,Ga,30108",33.564585,-85.228863,M,71.2,Yes,No,3
156,2015,622,Carroll County,102,Temple Middle School,"275 Rainey Rd,Temple,Ga,30179",33.747061,-85.027093,M,62.9,Yes,No,3
157,2015,622,Carroll County,115,Providence Elementary School,"287 Rainey Rd,Temple,Ga,30179",33.747662,-85.024427,E,65.3,Yes,No,3
158,2015,622,Carroll County,176,Mount Zion Elementary School,"260 Eureka Church Rd,Carrollton,Ga,30117",33.602953,-85.152423,E,65.7,Yes,No,3
159,2015,622,Carroll County,177,Central Middle School,"155 Whooping Creek Rd,Carrollton,Ga,30116",33.53759,-85.064678,M,80.4,Yes,No,3
160,2015,622,Carroll County,189,Temple High School,"589 Sage St,Temple,Ga,30179",33.732267,-85.025825,H,79.6,No,No,1
161,2015,622,Carroll County,212,Mt. Zion High School,"280 Eureka Church Rd,Carrollton,Ga,30117",33.602612,-85.14883,H,84.3,No,No,1
162,2015,622,Carroll County,305,Villa Rica Middle,"614 Tumlin Lake Rd,Temple,Ga,30179",33.780744,-84.969442,M,69.7,Yes,No,3
163,2015,622,Carroll County,377,Roopville Elementary School,"60 Old Carrollton Rd,Roopville,Ga,30170",33.461622,-85.12888,E,82.4,Yes,No,3
164,2015,622,Carroll County,477,Whitesburg Elementary School,"868 Main St,Whitesburg,Ga,30185",33.497287,-84.917517,E,71.9,Yes,No,3
165,2015,622,Carroll County,605,Glanton-Hindsman Elementary,"118 Glanton St,Villa Rica,Ga,30180",33.727397,-84.912958,E,84.8,Yes,No,3
166,2015,622,Carroll County,705,Villa Rica Elementary School,"314 Peachtreet Street,Villa Rica,Ga,30180",33.734429,-84.92646,E,71.6,Yes,No,3
167,2015,622,Carroll County,1054,Temple Elementary School,"95 Otis St,Temple,Ga,30179",33.740551,-85.038584,E,67.2,Yes,No,3
168,2015,622,Carroll County,2050,Bowdon Elementary School,"223 Kent Ave,Bowdon,Ga,30108",33.526382,-85.252517,E,79.1,Yes,No,3
169,2015,622,Carroll County,2052,Central High School,"113 Central High Rd,Carrollton,Ga,30116",33.552108,-85.068276,H,74.5,No,No,1
170,2015,622,Carroll County,3050,Bowdon High School,"504 W College St,Bowdon,Ga,30108",33.538352,-85.261445,H,84.7,No,No,1
171,2015,622,Carroll County,5050,Central Elementary School,"175 Primary School Rd,Carrollton,Ga,30116",33.541727,-85.069816,E,79.3,Yes,No,3
172,2015,622,Carroll County,5052,Sand Hill Elementary School,"45 Sandhill School Rd,Carrollton,Ga,30116",33.58011,-85.076611,E,78.0,Yes,No,3
173,2015,622,Carroll County,5054,Villa Rica High School,"600 Rocky Branch Rd,Villa Rica,Ga,30180",33.727112,-84.946212,H,76.4,No,No,1
174,2015,623,Catoosa County,103,Battlefield Elementary School,"2206 Battlefield Pkwy,Fort Oglethorpe,Ga,30742",34.94479,-85.229993,E,75.3,Yes,No,3
175,2015,623,Catoosa County,105,Woodstation Elementary School,"3404 Colbert Hollow Rd,Rock Spring,Ga,30739",34.777074,-85.160595,E,80.0,Yes,No,3
176,2015,623,Catoosa County,109,Heritage High School,"3960 Poplar Springs Rd,Ringgold,Ga,30736",34.894958,-85.194077,H,84.0,No,No,1
177,2015,623,Catoosa County,185,Tiger Creek Elementary School,"134 Rhea Mcclanahan Dr,Tunnel Hill,Ga,30755",34.904225,-85.072561,E,68.7,Yes,No,3
178,2015,623,Catoosa County,205,Heritage Middle School,"4005 Poplar Springs Rd,Ringgold,Ga,30736",34.891894,-85.193179,M,76.7,No,No,1
179,2015,623,Catoosa County,1050,Boynton Elementary School,"3938 Boynton Dr,Ringgold,Ga,30736",34.924116,-85.18536,E,88.3,No,No,1
180,2015,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,"1850 Battlefield Pkwy,Fort Oglethorpe,Ga,30742",34.947027,-85.23531,H,78.3,No,No,1
181,2015,623,Catoosa County,2552,Lakeview Middle School,"416 Cross St,Rossville,Ga,30741",34.971966,-85.257495,M,70.8,Yes,No,3
